timestamp,air_temp_c,humidity_percent,water_soil_temp_c,air_pressure_hpa,air_pressure_status,soil_moisture_raw,soil_moisture_status,light_level_raw,light_level_status,rain_level_raw,rain_level_status,co2_ppm,nh3_ppm,voc_ppm,nitrogen_mg_kg,nitrogen_status,phosphorus_mg_kg,phosphorus_status,potassium_mg_kg,potassium_status
2025-08-07 20:50:54,N/A,N/A,29.19,1008.98,Normal,18138,Optimal,913,Bright Light,25004,Dry,167025.74,67315.47,197771.03,0,Low,33,Optimal,N/A,N/A
2025-08-07 20:55:57,26.85,91.00,29.12,1008.95,Normal,17765,Optimal,906,Bright Light,25158,Dry,170216.92,68462.93,201666.69,0,Low,33,Optimal,25,Low
2025-08-07 21:01:00,27.25,91.00,29.12,1009.07,Normal,18044,Optimal,927,Bright Light,25785,Dry,151370.56,61651.32,178693.67,0,Low,33,Optimal,25,Low
2025-08-07 21:06:01,27.45,88.70,29.06,1009.05,Normal,18029,Optimal,926,Bright Light,25787,Dry,139599.54,57351.35,164389.09,0,Low,32,Optimal,25,Low
2025-08-07 21:11:03,27.55,89.50,29.00,1009.09,Normal,17828,Optimal,926,Bright Light,25788,Dry,144774.41,59246.32,170673.40,0,Low,32,Optimal,25,Low
2025-08-07 21:16:05,27.65,87.90,28.94,1009.01,Normal,17807,Optimal,926,Bright Light,25795,Dry,148007.56,60426.58,174603.23,0,Low,32,Optimal,25,Low
2025-08-07 21:21:07,27.55,87.30,28.94,1009.02,Normal,18171,Optimal,926,Bright Light,25784,Dry,146678.36,59941.70,172987.29,0,Low,32,Optimal,25,Low
2025-08-07 21:26:08,27.65,87.20,28.88,1008.99,Normal,17858,Optimal,926,Bright Light,25793,Dry,146163.90,59753.90,172361.97,0,Low,32,Optimal,25,Low
2025-08-07 21:31:12,27.65,87.50,28.81,1009.03,Normal,18106,Optimal,926,Bright Light,25786,Dry,144483.16,59139.87,170319.53,0,Low,32,Optimal,25,Low
2025-08-07 21:36:15,27.65,87.10,28.75,1009.04,Normal,18194,Optimal,927,Bright Light,25702,Dry,144192.36,59033.55,169966.22,0,Low,32,Optimal,25,Low
2025-08-07 21:41:19,27.65,88.40,28.75,1009.07,Normal,18386,Optimal,927,Bright Light,25804,Dry,143250.32,58688.98,168821.83,0,Low,32,Optimal,25,Low
2025-08-07 21:46:23,27.65,87.10,28.75,1009.10,Normal,18173,Optimal,927,Bright Light,25803,Dry,147489.57,60237.68,173973.44,0,Low,32,Optimal,24,Low
2025-08-07 21:51:27,27.65,87.60,28.69,1009.17,Normal,18114,Optimal,927,Bright Light,25807,Dry,150393.13,61295.66,177504.53,0,Low,32,Optimal,24,Low
2025-08-07 21:56:30,27.65,87.30,28.62,1009.18,Normal,18145,Optimal,927,Bright Light,25797,Dry,148526.93,60615.92,175234.76,0,Low,32,Optimal,24,Low
2025-08-07 22:01:32,27.65,87.40,28.62,1009.13,Normal,18251,Optimal,928,Bright Light,25812,Dry,146678.36,59941.70,172987.29,0,Low,32,Optimal,24,Low
2025-08-07 22:06:34,27.75,87.50,28.56,1009.20,Normal,18192,Optimal,928,Bright Light,25805,Dry,147489.57,60237.68,173973.44,0,Low,32,Optimal,24,Low
2025-08-07 22:11:38,27.75,86.70,28.56,1009.21,Normal,18284,Optimal,928,Bright Light,25752,Dry,146457.71,59861.16,172719.09,0,Low,32,Optimal,24,Low
2025-08-07 22:16:41,27.85,86.80,28.50,1009.22,Normal,18349,Optimal,928,Bright Light,25811,Dry,147341.83,60183.78,173793.82,0,Low,32,Optimal,24,Low
2025-08-07 22:21:43,27.75,87.40,28.50,1009.26,Normal,18508,Optimal,928,Bright Light,25816,Dry,149047.69,60805.69,175868.04,0,Low,32,Optimal,24,Low
2025-08-07 22:26:45,27.55,88.00,28.44,1009.18,Normal,18385,Optimal,928,Bright Light,25815,Dry,148526.93,60615.92,175234.76,0,Low,32,Optimal,24,Low
2025-08-07 22:31:47,27.65,87.50,28.44,1009.29,Normal,18431,Optimal,928,Bright Light,25809,Dry,146163.90,59753.90,172361.97,0,Low,32,Optimal,24,Low
